CD_ESTABELECIMENTO;DSC_RAZAO_SOCIAL;NM_FANTASIA;CD_MUNICIPIO;TP_ESTABELECIMENTO;URI_MUNICIPIO
7161859;LINHARES;UNIDADE SAUDE DA FAMILIA NATALINO PANDOLFI BAGUEIRA;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
7161859;LINHARES;UNIDADE SAUDE DA FAMILIA NATALINO PANDOLFI BAGUEIRA;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465825;LINHARES;HOSPITAL GERAL DE LINHARES HGL;3203205;Hospital;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2654768;LINHARES;UNIDADE DE SAUDE INTERLAGOS II MAURICIO BADIANI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2654768;LINHARES;UNIDADE DE SAUDE INTERLAGOS II MAURICIO BADIANI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465841;LINHARES;UNIDADE DE SAUDE REGENCIA GLAUDISON ELIAS CALIMAN;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465841;LINHARES;UNIDADE DE SAUDE REGENCIA GLAUDISON ELIAS CALIMAN;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403641;LINHARES;UNIDADE DE SAUDE SHELL CATARINA ROMANHA LORENZUTTI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403641;LINHARES;UNIDADE DE SAUDE SHELL CATARINA ROMANHA LORENZUTTI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
5974844;LINHARES;UNIDADE SAUDE DA FAMILIA DR JOEL COELHO FERREIRA CAIC;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
5974844;LINHARES;UNIDADE SAUDE DA FAMILIA DR JOEL COELHO FERREIRA CAIC;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
3566919;LINHARES;UNIDADE DE SAUDE NOVA ESPERANCA JOSE PEREIRA DOS SANTOS;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
3566919;LINHARES;UNIDADE DE SAUDE NOVA ESPERANCA JOSE PEREIRA DOS SANTOS;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465868;LINHARES;UNIDADE DE SAUDE CANIVETE DR JOSE ANTONIO PALMEIRA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465868;LINHARES;UNIDADE DE SAUDE CANIVETE DR JOSE ANTONIO PALMEIRA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465876;LINHARES;UNIDADE DE SAUDE AVISO ETELVINA LOUREIRO SILVERIO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465876;LINHARES;UNIDADE DE SAUDE AVISO ETELVINA LOUREIRO SILVERIO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449242;LINHARES;UNIDADE DE SAUDE RIO QUARTEL ANA NUNES CARDOSO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449242;LINHARES;UNIDADE DE SAUDE RIO QUARTEL ANA NUNES CARDOSO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465884;LINHARES;UNIDADE DE SAUDE CONCEICAO NOSSA SENHORA DA CONCEICAO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465884;LINHARES;UNIDADE DE SAUDE CONCEICAO NOSSA SENHORA DA CONCEICAO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465892;LINHARES;UNIDADE DE SAUDE TRES BARRAS MARCIA MARIA DA SILVA COLTO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465892;LINHARES;UNIDADE DE SAUDE TRES BARRAS MARCIA MARIA DA SILVA COLTO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465906;LINHARES;UNIDADE DE SAUDE BAIXO QUARTEL OLIMPIO DA SILVA GAMA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465906;LINHARES;UNIDADE DE SAUDE BAIXO QUARTEL OLIMPIO DA SILVA GAMA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449269;LINHARES;UNIDADE DE SAUDE PONTAL DO IPIRANGA LUIZ CANDIDO DURAO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449269;LINHARES;UNIDADE DE SAUDE PONTAL DO IPIRANGA LUIZ CANDIDO DURAO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465914;LINHARES;UNIDADE DE SAUDE DESENGANO JOAO FAVALESSA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465914;LINHARES;UNIDADE DE SAUDE DESENGANO JOAO FAVALESSA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403706;LINHARES;UNIDADE DE SAUDE HUMAITA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403706;LINHARES;UNIDADE DE SAUDE HUMAITA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449277;LINHARES;UNIDADE DE SAUDE NOVO HORIZONTE BNH;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2449277;LINHARES;UNIDADE DE SAUDE NOVO HORIZONTE BNH;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465922;LINHARES;UNIDADE SAUDE DA FAMILIA ALCIDES CORREIA GUAXE;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465922;LINHARES;UNIDADE SAUDE DA FAMILIA ALCIDES CORREIA GUAXE;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403714;LINHARES;UNIDADE DE SAUDE DE SANTA CRUZ PEDRO FELIPE SANTIAGO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2403714;LINHARES;UNIDADE DE SAUDE DE SANTA CRUZ PEDRO FELIPE SANTIAGO;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465930;LINHARES;UNIDADE DE SAUDE PEROBAS;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465930;LINHARES;UNIDADE DE SAUDE PEROBAS;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
7558805;LINHARES;UNIDADE DE SAUDE DA FAMILIA PLANALTO;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
7558805;LINHARES;UNIDADE DE SAUDE DA FAMILIA PLANALTO;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
5018269;LINHARES;UNIDADE DE SAUDE DA FAMILIA JARDIM LAGUNA;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
5018269;LINHARES;UNIDADE DE SAUDE DA FAMILIA JARDIM LAGUNA E PALMITAL;3203205;Unidade de Saúde da Família;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465949;LINHARES;UNIDADE DE SAUDE POVOACAO MANOEL PEREIRA DA SILVA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465949;LINHARES;UNIDADE DE SAUDE POVOACAO MANOEL PEREIRA DA SILVA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465957;LINHARES;UNIDADE DE SAUDE SAO JOSE JOAO FERNANDES DE SOUZA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465957;LINHARES;UNIDADE DE SAUDE SAO JOSE JOAO FERNANDES DE SOUZA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2490277;LINHARES;UNIDADE DE SAUDE JAPIRA SAMUEL BATISTA CRUZ;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2490277;LINHARES;UNIDADE DE SAUDE JAPIRA SAMUEL BATISTA CRUZ;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
6440614;LINHARES;UNIDADE DE SAUDE ARACA EXODO FELIX GUERINHA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
6440614;LINHARES;UNIDADE DE SAUDE ARACA EXODO FELIX GUERINHA;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465965;LINHARES;UNIDADE DE SAUDE SAO RAFAEL HERCILIO DE ANGELI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465965;LINHARES;UNIDADE DE SAUDE SAO RAFAEL HERCILIO DE ANGELI;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465973;LINHARES;UNIDADE DE SAUDE INTERLAGOS I;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
2465973;LINHARES;UNIDADE DE SAUDE INTERLAGOS I;3203205;Unidade de Saúde;https://servicodados.ibge.gov.br/api/v1/localidades/municipios/3203205
